text_title,start_file,f_jg,f_nr,start_page_value,start_page,year,month,day,end_file,end_page,date,node_count,title_id,par_id
Ernst O. G ......d.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,143,text__tid_00090.xml,pr1058
J. A.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,28,text__tid_00091.xml,pr1061
Robert F.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,31,text__tid_00092.xml,pr1064
Anna Mahr.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,118,text__tid_00093.xml,pr1067
"Frau A. H., Anna M., Marie B., Brutus, S. S.",FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,73,text__tid_00094.xml,pr1070
Ohne Unterschrift.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,410,text__tid_00095.xml,pr1073
"Leider ist es mir unmöglich, für die hunderte von Briefen,",FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,69,text__tid_00096.xml,pr1076
(Der pressfeindliche Fürst.),FK-01-006_n0001.xml,01,006,n0001,1,1899,05,01,1899-05-01,FK-01-006_n0005.xml,5,2795,text__tid_00097.xml,pr1196
BRÜNN.,FK-01-006_n0005.xml,01,006,n0005,5,1899,05,01,1899-05-01,FK-01-006_n0012.xml,12,4997,text__tid_00098.xml,pr1208
DAS PROVISORISCHE ÖSTERREICH.,FK-01-006_n0013.xml,01,006,n0013,13,1899,05,01,1899-05-01,FK-01-006_n0016.xml,16,2446,text__tid_00099.xml,pr1220
(Patriotismus gegen Ungarn.),FK-01-006_n0016.xml,01,006,n0016,16,1899,05,01,1899-05-01,FK-01-006_n0016.xml,16,71,text__tid_00100.xml,pr1238
(Zur Gemeindewahlreform.),FK-01-006_n0016.xml,01,006,n0016,16,1899,05,01,1899-05-01,FK-01-006_n0018.xml,18,897,text__tid_00101.xml,pr1241
(Gebrochene Lanzen.),FK-01-006_n0018.xml,01,006,n0018,18,1899,05,01,1899-05-01,FK-01-006_n0020.xml,20,1460,text__tid_00102.xml,pr1245
(Nekrologe.),FK-01-006_n0020.xml,01,006,n0020,20,1899,05,01,1899-05-01,FK-01-006_n0020.xml,20,606,text__tid_00103.xml,pr1249
(Lapidares aus der ‚N. Fr. Pr.‘.),FK-01-006_n0021.xml,01,006,n0021,21,1899,05,01,1899-05-01,FK-01-006_n0021.xml,21,186,text__tid_00104.xml,pr1254
VON DEN AUTOREN DER MISSHANDLUNG. (Die Autoren der Misshandlung.),FK-01-006_n0021.xml,01,006,n0021,21,1899,05,01,1899-05-01,FK-01-006_n0027.xml,27,4343,text__tid_00105.xml,pr1258
Frl. Niemand.,FK-01-006_n0027.xml,01,006,n0027,27,1899,05,01,1899-05-01,FK-01-006_n0027.xml,27,216,text__tid_00107.xml,pr1273
"Michael Georg C., dzt. Karlsbad.",FK-01-006_n0027.xml,01,006,n0027,27,1899,05,01,1899-05-01,FK-01-006_n0027.xml,27,78,text__tid_00108.xml,pr1276
Hubert L.,FK-01-006_n0027.xml,01,006,n0027,27,1899,05,01,1899-05-01,FK-01-006_n0027.xml,27,38,text__tid_00109.xml,pr1279
Dr. Wolfgang M.,FK-01-006_n0027.xml,01,006,n0027,27,1899,05,01,1899-05-01,FK-01-006_n0027.xml,27,29,text__tid_00110.xml,pr1282
C. H. II.,FK-01-006_n0027.xml,01,006,n0027,27,1899,05,01,1899-05-01,FK-01-006_n0027.xml,27,43,text__tid_00111.xml,pr1285
Socialpolitiker.,FK-01-006_n0027.xml,01,006,n0027,27,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,412,text__tid_00112.xml,pr1288
R. H.....t.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,50,text__tid_00113.xml,pr1291
H. R........r.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,22,text__tid_00114.xml,pr1294
Dina M.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,61,text__tid_00115.xml,pr1297
Lady Mischief.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,20,text__tid_00116.xml,pr1300
Robert F.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,35,text__tid_00117.xml,pr1303
Dr. E. F.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,36,text__tid_00118.xml,pr1306
Landsmännin.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,22,text__tid_00119.xml,pr1309
„Seemann“.,FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,18,text__tid_00120.xml,pr1312
"Leopold P. in Wildon, Dr. Victor F. in Prag, Leopold N. inKlosterneuburg.",FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,53,text__tid_00121.xml,pr1315
"Anonyme Briefe, die eines sachlichen Inhalts und positiver",FK-01-006_n0028.xml,01,006,n0028,28,1899,05,01,1899-05-01,FK-01-006_n0028.xml,28,40,text__tid_00122.xml,pr1318
(Johann Strauß.),FK-01-007_n0001.xml,01,007,n0001,1,1899,06,01,1899-06-01,FK-01-007_n0002.xml,2,588,text__tid_00123.xml,pr1412
(Dreyfus und kein Ende.),FK-01-007_n0002.xml,01,007,n0002,2,1899,06,01,1899-06-01,FK-01-007_n0005.xml,5,2156,text__tid_00124.xml,pr1415
(Philippovich.),FK-01-007_n0005.xml,01,007,n0005,5,1899,06,01,1899-06-01,FK-01-007_n0008.xml,8,2282,text__tid_00125.xml,pr1422
(Zur Exportaction der Österreich. Regierung.),FK-01-007_n0009.xml,01,007,n0009,9,1899,06,01,1899-06-01,FK-01-007_n0010.xml,10,785,text__tid_00126.xml,pr1429
UNIVERSITÄTSBUMMEL.,FK-01-007_n0010.xml,01,007,n0010,10,1899,06,01,1899-06-01,FK-01-007_n0014.xml,14,2824,text__tid_00127.xml,pr1433
(Amtsärztinnen.),FK-01-007_n0014.xml,01,007,n0014,14,1899,06,01,1899-06-01,FK-01-007_n0014.xml,14,725,text__tid_00128.xml,pr1460
(Wilhelms II. Revanche.),FK-01-007_n0015.xml,01,007,n0015,15,1899,06,01,1899-06-01,FK-01-007_n0016.xml,16,1298,text__tid_00129.xml,pr1466
(Hermann Bahr über Robert.),FK-01-007_n0016.xml,01,007,n0016,16,1899,06,01,1899-06-01,FK-01-007_n0016.xml,16,196,text__tid_00130.xml,pr1471
(Unfälle und Annoncen.),FK-01-007_n0017.xml,01,007,n0017,17,1899,06,01,1899-06-01,FK-01-007_n0017.xml,17,819,text__tid_00131.xml,pr1474
(Lapidares aus der ‚N. Fr. Pr.‘),FK-01-007_n0018.xml,01,007,n0018,18,1899,06,01,1899-06-01,FK-01-007_n0018.xml,18,81,text__tid_00132.xml,pr1478
Frl. Niemand.,FK-01-007_n0018.xml,01,007,n0018,18,1899,06,01,1899-06-01,FK-01-007_n0018.xml,18,282,text__tid_00134.xml,pr1484
Käthe K.,FK-01-007_n0018.xml,01,007,n0018,18,1899,06,01,1899-06-01,FK-01-007_n0018.xml,18,151,text__tid_00135.xml,pr1487
E. S. E.,FK-01-007_n0018.xml,01,007,n0018,18,1899,06,01,1899-06-01,FK-01-007_n0018.xml,18,144,text__tid_00136.xml,pr1490
Antizion.,FK-01-007_n0018.xml,01,007,n0018,18,1899,06,01,1899-06-01,FK-01-007_n0018.xml,18,118,text__tid_00137.xml,pr1493
Ein Nörgler.,FK-01-007_n0018.xml,01,007,n0018,18,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,279,text__tid_00138.xml,pr1496
M. B.,FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,79,text__tid_00139.xml,pr1499
Victor K.,FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,40,text__tid_00140.xml,pr1502
D. H. G.,FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,39,text__tid_00141.xml,pr1505
Ing. J. W.,FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,33,text__tid_00142.xml,pr1508
F. P. (Chiffre für P. E.).,FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,75,text__tid_00143.xml,pr1511
Eifriger Leser.,FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,80,text__tid_00144.xml,pr1514
"„Ein Narr, weil Abonnent der Neuen Freien Presse.“",FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0019.xml,19,161,text__tid_00145.xml,pr1517
"A. R., Wien, II., Am Tabor.",FK-01-007_n0019.xml,01,007,n0019,19,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,608,text__tid_00146.xml,pr1520
Sufficit,FK-01-007_n0020.xml,01,007,n0020,20,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,44,text__tid_00148.xml,pr1523_a
"M. H. S., Floridsdorf, L. Etinsaur (?), R., J. St.....r, Wien XVI., Renée, Graf G. in Brixen, Alois M. in Steyr, „Eine müde Seele“, Sigbert E. z. Zt. Baden.",FK-01-007_n0020.xml,01,007,n0020,20,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,122,text__tid_00149.xml,pr1526
Melanie F.,FK-01-007_n0020.xml,01,007,n0020,20,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,43,text__tid_00150.xml,pr1529
C. H. II.,FK-01-007_n0020.xml,01,007,n0020,20,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,22,text__tid_00151.xml,pr1532
"Richard Sch., Crescenzago bei Mailand.",FK-01-007_n0020.xml,01,007,n0020,20,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,83,text__tid_00152.xml,pr1535
Ein Jünger Themis’.,FK-01-007_n0020.xml,01,007,n0020,20,1899,06,01,1899-06-01,FK-01-007_n0020.xml,20,38,text__tid_00153.xml,pr1538
UNIVERSITÄTSBUMMEL.,FK-01-008_n0001.xml,01,008,n0001,1,1899,06,01,1899-06-01,FK-01-008_n0007.xml,7,4271,text__tid_00154.xml,pr1643
(Es ist vollbracht.),FK-01-008_n0007.xml,01,008,n0007,7,1899,06,01,1899-06-01,FK-01-008_n0010.xml,10,2340,text__tid_00155.xml,pr1654
(Unterschlagene Worte.),FK-01-008_n0010.xml,01,008,n0010,10,1899,06,01,1899-06-01,FK-01-008_n0011.xml,11,649,text__tid_00156.xml,pr1661
Aus dem Handelsministerium.,FK-01-008_n0011.xml,01,008,n0011,11,1899,06,01,1899-06-01,FK-01-008_n0013.xml,13,968,text__tid_00157.xml,pr1666
(Montagspiraten.),FK-01-008_n0013.xml,01,008,n0013,13,1899,06,01,1899-06-01,FK-01-008_n0015.xml,15,1541,text__tid_00158.xml,pr1677
(Das Pathos der Kutscher.),FK-01-008_n0015.xml,01,008,n0015,15,1899,06,01,1899-06-01,FK-01-008_n0016.xml,16,906,text__tid_00159.xml,pr1683
(Der Radfahrer Kielmansegg.),FK-01-008_n0016.xml,01,008,n0016,16,1899,06,01,1899-06-01,FK-01-008_n0017.xml,17,678,text__tid_00160.xml,pr1686
(Die um Johann Strauß.),FK-01-008_n0018.xml,01,008,n0018,18,1899,06,01,1899-06-01,FK-01-008_n0019.xml,19,1002,text__tid_00161.xml,pr1690
Lapidares aus der ‚Neuen Freien Presse’.,FK-01-008_n0019.xml,01,008,n0019,19,1899,06,01,1899-06-01,FK-01-008_n0020.xml,20,894,text__tid_00162.xml,pr1693
Frl. Niemand.,FK-01-008_n0023.xml,01,008,n0023,23,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,411,text__tid_00164.xml,pr1710
Lady Mischief in Velden.,FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,34,text__tid_00165.xml,pr1713
Abbazia.,FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,23,text__tid_00166.xml,pr1716
"S. E., Baden.",FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,31,text__tid_00167.xml,pr1719
Dr. K. M.,FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,27,text__tid_00168.xml,pr1722
J. L.,FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,41,text__tid_00169.xml,pr1725
Jox (?).,FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,99,text__tid_00170.xml,pr1728
Frater Nosocomialis.,FK-01-008_n0024.xml,01,008,n0024,24,1899,06,01,1899-06-01,FK-01-008_n0024.xml,24,75,text__tid_00171.xml,pr1731
